datetime,location,temperature,humidity,wind_speed,pressure,visibility,cloud_cover
2025-11-12 18:20:19,Beluwakhan,11.8,50,1.9444444444444444,1016.3,4.8,51
2025-11-12 18:20:19,Nainital,11.8,50,1.9444444444444444,1016.3,4.8,51
2025-11-12 18:20:19,Delhi,23.5,25,2.361111111111111,1015.0,4.8,51
2025-11-12 18:20:19,Mumbai,31.9,35,3.75,1012.0,12.9,0
2025-11-12 18:20:19,Beluwakhan,11.8,50,1.9444444444444444,1016.3,4.8,51
2025-11-12 18:20:19,Nainital,11.8,50,1.9444444444444444,1016.3,4.8,51
2025-11-12 18:20:19,Delhi,23.5,25,2.361111111111111,1015.0,4.8,51
2025-11-12 18:20:19,Mumbai,31.9,35,3.75,1012.0,12.9,0
2025-11-12 18:21:18,Beluwakhan,15.2,65,2.1,965.5,Good,Clear
2025-11-12 18:21:18,Nainital,12.8,58,1.8,967.2,Good,Clear
2025-11-12 18:21:18,Delhi,22.5,72,3.2,1013.2,Good,Clear
2025-11-12 18:21:18,Mumbai,28.1,78,2.8,1012.8,Good,Clear
2025-11-12 18:21:47,Beluwakhan,15.2,65,2.1,965.5,Good,Clear
2025-11-12 18:21:47,Nainital,12.8,58,1.8,967.2,Good,Clear
2025-11-12 18:21:47,Delhi,22.5,72,3.2,1013.2,Good,Clear
2025-11-12 18:21:47,Mumbai,28.1,78,2.8,1012.8,Good,Clear
2025-11-12 18:21:49,Beluwakhan,15.2,65,2.1,965.5,Good,Clear
2025-11-12 18:21:49,Nainital,12.8,58,1.8,967.2,Good,Clear
2025-11-12 18:21:49,Delhi,22.5,72,3.2,1013.2,Good,Clear
2025-11-12 18:21:49,Mumbai,28.1,78,2.8,1012.8,Good,Clear
2025-11-12 18:22:58,Beluwakhan,11.8,50,1.9444444444444444,1016.3,4.8,51
2025-11-12 18:22:58,Nainital,11.8,50,1.9444444444444444,1016.3,4.8,51
2025-11-12 18:22:58,Delhi,23.5,25,2.361111111111111,1015.0,4.8,51
